gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3,mousebrain-zeisel2018,TEINH10,0.2909466097994961,0.0767964195818547,7.607456556399163e-05
SCZ_PGC3,mousebrain-zeisel2018,HBGLU7,0.265436220549299,0.0705509606570767,8.450129102214686e-05
SCZ_PGC3,mousebrain-zeisel2018,DEINH2,0.3330372149148733,0.0899916923880993,0.0001078796533256
SCZ_PGC3,mousebrain-zeisel2018,OBINH2,0.2812092977046974,0.0763838409786494,0.0001163431605226
SCZ_PGC3,mousebrain-zeisel2018,HBGLU8,0.3433315608713154,0.0940686579093508,0.0001316873608969
SCZ_PGC3,mousebrain-zeisel2018,MSN5,0.3042979688465838,0.0833934244885362,0.000132125022856
SCZ_PGC3,mousebrain-zeisel2018,MEGLU11,0.2970730092432747,0.0815229874552526,0.0001346675049463
SCZ_PGC3,mousebrain-zeisel2018,MEINH10,0.2643411889563862,0.0732995483139822,0.0001558134145902
SCZ_PGC3,mousebrain-zeisel2018,OBNBL2,0.3308751357521272,0.0923468995561301,0.0001704223374586
SCZ_PGC3,mousebrain-zeisel2018,MEGLU7,0.3127562912422928,0.0880588213793963,0.0001920047289425
SCZ_PGC3,mousebrain-zeisel2018,TEINH8,0.3839997087991784,0.1084638799274639,0.0002004311911979
SCZ_PGC3,mousebrain-zeisel2018,HBCHO4,0.3121825383504052,0.0895673809189128,0.0002463867424193
SCZ_PGC3,mousebrain-zeisel2018,DEGLU5,0.2938775074906553,0.0846516658644902,0.0002594325734998
SCZ_PGC3,mousebrain-zeisel2018,MEGLU4,0.305481160235907,0.0883330892991822,0.0002725964976779
SCZ_PGC3,mousebrain-zeisel2018,TEGLU6,0.2652385141705466,0.0767678564824045,0.000275864413991
SCZ_PGC3,mousebrain-zeisel2018,HBSER2,0.2809770452869186,0.0815594419359084,0.0002862810791882
SCZ_PGC3,mousebrain-zeisel2018,TEINH7,0.3476669166696663,0.1022812933642932,0.000338924739501
SCZ_PGC3,mousebrain-zeisel2018,MEGLU14,0.3336160248737401,0.0991104210438265,0.0003821852954791
SCZ_PGC3,mousebrain-zeisel2018,MEGLU5,0.2662160788229269,0.0794035457208832,0.0004011706320996
SCZ_PGC3,mousebrain-zeisel2018,MEINH11,0.3730634453089198,0.1130786246247141,0.0004860648854353
SCZ_PGC3,mousebrain-zeisel2018,MEGLU1,0.2588086290014887,0.0786287355438359,0.0004994228186875
SCZ_PGC3,mousebrain-zeisel2018,TEINH4,0.2959103347825689,0.0905398285687087,0.0005422661856982
